03-Aug-13 - Matchday 1		Tall. Cba	2-2 	Sarmiento		Echenique
20-Oct-13		S.M. SJ	2-1 	Gsia.Jujuy		Alvarez, L
20-Oct-13		Atl. Tuc	2-0 	Huracan		Pompei
20-Oct-13		Patronato	1-0 	Tall. Cba		Pezzotta
21-Oct-13		Brown	1-0 	Sarmiento		Penel
21-Oct-13		Ferro	1-0 	Sp.Belgr		Sabino
21-Oct-13		Def y Jus	1-0 	AlteBrown		Rapallini
21-Oct-13		D.Haig	1-1 	Indp Rvia		Suarez
24-Oct-13 - Matchday 11		Indepte	1-1 	Union		Ceballos, D
29-Oct-13 - Matchday 14 		S. Carlos	0-1 	Aldosivi		Córdoba
29-Oct-13		Crucero	2-2 	Def y Jus		Castro, A
29-Oct-13		Union	1-1 	Patronato		Maglio
29-Oct-13		AlteBrown	1-1 	Instituto		Ceballos, D
29-Oct-13		Sarmiento	0-1 	B. Unidos		Tello
29-Oct-13		Sp.Belgr	0-1 	Indepte		Pompei
29-Oct-13		Tall. Cba	1-4 	Brown		Lamolina, N
29-Oct-13		S.M. SJ	2-1 	D.Haig		Giannini
29-Oct-13		Gsia.Jujuy	0-0 	Ferro		López, R
30-Oct-13		Huracan	2-2 	Indp Rvia		Díaz, P
30-Oct-13		Banfield	0-0 	Atl. Tuc		Laverni
02-Nov-13 - Matchday 15		Brown	3-3 	Union		Tello
03-Nov-13		Instituto	4-1 	Crucero		Suarez
03-Nov-13		Aldosivi	0-0 	Sarmiento		Alvarez, L
03-Nov-13		B. Unidos	1-1 	Tall. Cba		Castro, A
03-Nov-13		Patronato	0-0 	AlteBrown		González, M
03-Nov-13		Atl. Tuc	2-2 	S. Carlos		Penel
04-Nov-13		Indp Rvia	3-0 	Banfield		Trucco
04-Nov-13		D.Haig	1-0 	Huracan		Paletta
04-Nov-13		Def y Jus	4-0 	Sp.Belgr		Laverni
04-Nov-13		Ferro	1-0 	S.M. SJ		Espinoza, F
04-Nov-13		Indepte	1-0 	Gsia.Jujuy		Vigliano, M
08-Nov-13 - Matchday 16		Union	4-4 	B. Unidos		Lamolina, N
08-Nov-13		S. Carlos	0-1 	Indp Rvia		Vigliano, P
08-Nov-13		AlteBrown	0-2 	Brown		Castro, A
08-Nov-13		Gsia.Jujuy	1-1 	Def y Jus		Tello
08-Nov-13		Crucero	1-0 	Patronato		Córdoba
09-Nov-13		Sarmiento	0-0 	Atl. Tuc		López, R
09-Nov-13		Ferro	0-0 	D.Haig		Argañaraz
09-Nov-13		S.M. SJ	0-0 	Indepte		Rapallini
09-Nov-13		Banfield	0-2 	Huracan		Echenique
09-Nov-13		Sp.Belgr	0-0 	Instituto		Giannini
09-Nov-13		Tall. Cba	2-0 	Aldosivi		Merlos
12-Nov-13 - Matchday 17		Brown	1-2 	Crucero		Paletta
12-Nov-13		B. Unidos	0-0 	AlteBrown		Espinoza, F
13-Nov-13		D.Haig	0-0 	Banfield		Maglio
13-Nov-13		Aldosivi	1-0 	Union		Laverni
13-Nov-13		Huracan	1-0 	S. Carlos		Tello
13-Nov-13		Patronato	0-2 	Sp.Belgr		Argañaraz
13-Nov-13		Indepte	3-0 	Ferro		Suarez
13-Nov-13		Indp Rvia	3-1 	Sarmiento		Castro, A
13-Nov-13		Instituto	2-1 	Gsia.Jujuy		Penel
13-Nov-13		Atl. Tuc	1-0 	Tall. Cba		Pompei
14-Nov-13		Def y Jus	3-0 	S.M. SJ		Merlos
16-Nov-13 - Matchday 18		Crucero	6-0 	B. Unidos		Possi
17-Nov-13		Gsia.Jujuy	0-0 	Patronato		Pompei
17-Nov-13		AlteBrown	1-1 	Aldosivi		Vigliano, P
17-Nov-13		Tall. Cba	3-1 	Indp Rvia		Lamolina, N
17-Nov-13		Sp.Belgr	3-0 	Brown		Laverni
18-Nov-13		Ferro	1-0 	Def y Jus		Beligoy
18-Nov-13		Indepte	2-0 	D.Haig		Lunati
18-Nov-13		S.M. SJ	2-1 	Instituto		Córdoba
19-Nov-13		S. Carlos	0-3 	Banfield		Giannini
19-Nov-13		Union	1-1 	Atl. Tuc		Suarez
19-Nov-13		Sarmiento	1-0 	Huracan		Merlos
22-Nov-13 - Matchday 19		Aldosivi	0-1 	Crucero		Herrera
22-Nov-13		B. Unidos	1-2 	Sp.Belgr		Penel
23-Nov-13		Brown	2-0 	Gsia.Jujuy		Argañaraz
23-Nov-13		Def y Jus	0-0 	Indepte		Castro, A
23-Nov-13		Instituto	0-0 	Ferro		Merlos
24-Nov-13		D.Haig	1-1 	S. Carlos		Espinoza, F
24-Nov-13		Patronato	1-0 	S.M. SJ		Alvarez, L
24-Nov-13		Indp Rvia	2-0 	Union		Beligoy
25-Nov-13		Banfield	3-0 	Sarmiento		Pompei
25-Nov-13		Atl. Tuc	0-1 	AlteBrown		Tello
25-Nov-13		Huracan	2-0 	Tall. Cba		Pezzotta
29-Nov-13 - Matchday 20		Gsia.Jujuy	1-0 	B. Unidos		González, M
30-Nov-13		Ferro	0-0 	Patronato		Argañaraz
30-Nov-13		Tall. Cba	2-2 	Banfield	Vigliano, M
01-Dec-13		Crucero	1-1 	Atl. Tuc		Castro, A
01-Dec-13		S.M. SJ	3-1 	Brown		Dóvalo
01-Dec-13		Sp.Belgr	0-0 	Aldosivi		Giannini
01-Dec-13		Sarmiento	1-0 	S. Carlos		Córdoba
02-Dec-13		Indepte	2-0 	Instituto		Suarez
02-Dec-13		Def y Jus	4-0 	D.Haig		Maglio
02-Dec-13		Union	0-0 	Huracan		Baliño
03-Dec-13		AlteBrown	1-1 	Indp Rvia		Laverni
06-Dec-13 - Matchday 21		Aldosivi	1-0 	Gsia.Jujuy		Beligoy
06-Dec-13		B. Unidos	1-1 	S.M. SJ		Echenique
07-Dec-13		Brown	2-3 	Ferro		Tello
07-Dec-13		S. Carlos	3-2 	Tall. Cba		Pompei
07-Dec-13		Banfield	4-2 	Union		Ceballos, D
07-Dec-13		Patronato	0-1 	Indepte		Loustau, P
08-Dec-13		Huracan	1-1 	AlteBrown		Suarez
08-Dec-13		Indp Rvia	0-0 	Crucero		Baliño
08-Dec-13		Atl. Tuc	3-2 	Sp.Belgr		González, M
08-Dec-13		Instituto	1-1 	Def y Jus		Rapallini
07-Feb-14 - Matchday 22		Instituto	2-0 	D.Haig		Echenique
07-Feb-14		Sarmiento	3-0 	Tall. Cba		Beligoy
07-Feb-14		Indp Rvia	2-1 	Sp.Belgr		Suarez
07-Feb-14		Atl. Tuc	2-1 	Gsia.Jujuy		Baliño
08-Feb-14		Banfield	2-1 	AlteBrown		Giannini
08-Feb-14		Huracan	2-1 	Crucero		Laverni
08-Feb-14		Aldosivi	4-1 	S.M. SJ		Castro, A
09-Feb-14		Brown	1-2 	Indepte		Díaz, P
09-Feb-14		B. Unidos	0-0 	Ferro		López, R
10-Feb-14		S. Carlos	0-3 	Union		Argañaraz
10-Feb-14		Patronato	1-1 	Def y Jus		Pezzotta
11-Feb-14 - Matchday 21		D.Haig	1-1 	Sarmiento		Merlos
14-Feb-14 - Matchday 23		Gsia.Jujuy	1-1 	Indp Rvia		Giannini
14-Feb-14		Indepte	1-1 	B. Unidos		Echenique
15-Feb-14		Ferro	2-1 	Aldosivi		Laverni
15-Feb-14		Instituto	2-1 	Patronato		Penel
16-Feb-14		Def y Jus	2-1 	Brown		Alvarez, L
16-Feb-14		D.Haig	1-0 	Tall. Cba		Díaz, P
16-Feb-14		S.M. SJ	1-0 	Atl. Tuc		Lamolina, N
17-Feb-14		Union	0-1 	Sarmiento		Paletta
17-Feb-14		AlteBrown	2-1 	S. Carlos		Tello
17-Feb-14		Sp.Belgr	0-1 	Huracan		Argañaraz
17-Feb-14		Crucero	0-1 	Banfield		Castro, A
21-Feb-14 - Matchday 24		S. Carlos	1-1 	Crucero		Paletta
21-Feb-14		Brown	2-0 	Instituto		Suarez
21-Feb-14		Sarmiento	2-1 	AlteBrown		Espinoza, F
21-Feb-14		B. Unidos	2-1 	Def y Jus		Maglio
21-Feb-14		Tall. Cba	1-1 	Union		González, M
21-Feb-14		Patronato	2-0 	D.Haig		Córdoba
21-Feb-14		Indp Rvia	3-4 	S.M. SJ		Pezzotta
21-Feb-14		Aldosivi	0-0 	Indepte		Delfino
21-Feb-14		Atl. Tuc	2-2 	Ferro		Castro, A
22-Feb-14		Huracan	0-1 	Gsia.Jujuy		Tello
23-Feb-14		Banfield	0-2 	Sp.Belgr		Merlos
25-Feb-14 - Matchday 25		D.Haig	2-0 	Union		Penel
25-Feb-14		AlteBrown	1-1 	Tall. Cba		Argañaraz
26-Feb-14		Ferro	3-0 	Indp Rvia		Baliño
26-Feb-14		Gsia.Jujuy	1-0 	Banfield		Maglio
26-Feb-14		Indepte	1-3 	Atl. Tuc		Díaz, P
26-Feb-14		Def y Jus	3-0 	Aldosivi		Trucco
26-Feb-14		Crucero	0-1 	Sarmiento		López, R
26-Feb-14		Instituto	1-1 	B. Unidos		Alvarez, L
26-Feb-14		Patronato	1-1 	Brown		Lamolina, N
26-Feb-14		Sp.Belgr	1-1 	S. Carlos		Pompei
26-Feb-14		S.M. SJ	3-0 	Huracan		Rapallini
02-Mar-14 - Matchday 26		B. Unidos	2-1 	Patronato		Paletta
02-Mar-14		Union	2-1 	AlteBrown		Tello
02-Mar-14		Aldosivi	1-0 	Instituto		Castro, A
03-Mar-14		Brown	2-2 	D.Haig		Argañaraz
03-Mar-14		S. Carlos	2-1 	Gsia.Jujuy		Díaz, P
03-Mar-14		Huracan	0-0 	Ferro		Giannini
03-Mar-14		Sarmiento	4-0 	Sp.Belgr		Lamolina, N
03-Mar-14		Tall. Cba	2-2 	Crucero		Echenique
03-Mar-14		Indp Rvia	2-1 	Indepte		Laverni
03-Mar-14		Atl. Tuc	1-1 	Def y Jus		Herrera
03-Mar-14		Banfield	2-1 	S.M. SJ		Beligoy
08-Mar-14 - Matchday 27		Brown	1-1 	B. Unidos		Giannini
08-Mar-14		Ferro	1-1 	Banfield		Abal
08-Mar-14		S.M. SJ	1-1 	S. Carlos		Baliño
08-Mar-14		Instituto	2-2 	Atl. Tuc		Laverni
08-Mar-14		Indepte	0-1 	Huracan		Pezzotta
09-Mar-14		Gsia.Jujuy	0-0 	Sarmiento		Córdoba
09-Mar-14		Def y Jus	2-2 	Indp Rvia		Ceballos, D
09-Mar-14		Crucero	0-0 	Union		Alvarez, L
09-Mar-14		Patronato	1-1 	Aldosivi		Beligoy
09-Mar-14		Sp.Belgr	0-0 	Tall. Cba		Loustau, P
10-Mar-14		D.Haig	3-0 	AlteBrown		Pompei
14-Mar-14 - Matchday 28		Huracan	1-1 	Def y Jus		Vigliano, M
14-Mar-14		Aldosivi	0-0 	Brown		Ceballos, D
14-Mar-14		B. Unidos	1-1 	D.Haig		Córdoba
14-Mar-14		Sarmiento	2-2 	S.M. SJ		Penel
14-Mar-14		Atl. Tuc	1-2 	Patronato		Baliño
15-Mar-14		S. Carlos	1-0 	Ferro		Beligoy
15-Mar-14		Indp Rvia	1-2 	Instituto		Giannini
15-Mar-14		Union	2-2 	Sp.Belgr		Merlos
15-Mar-14		Banfield	3-3 	Indepte		Delfino
16-Mar-14		Tall. Cba	0-1 	Gsia.Jujuy		Suarez
18-Mar-14 - Matchday 29		Brown	1-0 	Atl. Tuc		Alvarez, L
19-Mar-14		B. Unidos	1-3 	Aldosivi		Laverni
19-Mar-14		Sp.Belgr	3-1 	AlteBrown		Paletta
19-Mar-14		Indepte	0-0 	S. Carlos		Loustau, P
19-Mar-14		Ferro	3-0 	Sarmiento		Pompei
19-Mar-14		D.Haig	1-0 	Crucero		Díaz, P
19-Mar-14		Instituto	1-0 	Huracan		Espinoza, F
19-Mar-14		Patronato	1-0 	Indp Rvia		Tello
19-Mar-14		Def y Jus	5-3 	Banfield		Echenique
20-Mar-14		S.M. SJ	2-0 	Tall. Cba		Lamolina, N
20-Mar-14		Gsia.Jujuy	1-0 	Union		Castro, A
23-Mar-14 - Matchday 30		Huracan	3-0 	Patronato		Maglio
23-Mar-14		Crucero	2-1 	Sp.Belgr		Suarez
23-Mar-14		Atl. Tuc	0-1 	B. Unidos		Pompei
23-Mar-14		Aldosivi	4-0 	D.Haig		Echenique
24-Mar-14		Indp Rvia	0-0 	Brown		Argañaraz
24-Mar-14		S. Carlos	1-2 	Def y Jus		Giannini
24-Mar-14		AlteBrown	1-3 	Gsia.Jujuy		Díaz, P
24-Mar-14		Tall. Cba	3-1 	Ferro		Tello
24-Mar-14		Banfield	0-0 	Instituto		Castro, A
24-Mar-14		Union	3-1 	S.M. SJ		Baliño
24-Mar-14		Sarmiento	2-0 	Indepte		Lunati
29-Mar-14 - Matchday 31		Brown	0-0 	Huracan		Beligoy
29-Mar-14		Indepte	3-0 	Tall. Cba		Castro, A
29-Mar-14		Instituto	3-2 	S. Carlos		Penel
